Code zone (FAO),Zone,dispo_calorique_totale_kcal_personne_jour,dispo_gras_g_personne_jour,dispo_proteique_totale_g_personne_jour,dispo_interieure_ktonnes,exportations_ktonnes,importations_ktonnes,pertes_ktonnes,production_ktonnes,variation_stock_ktonnes,population,nb_sousalimentes,dispo_calorique_totale_pays_kcal_jour,taux_sousnutrition_pct,taux_couverture_kcal_pct,taux_couverture_prot_pct,taux_autosuffisance_pct,taux_dependance_import_pct,taux_pertes_pct,pop_nourrissable_theorique
126,Lituanie,3347.5,128.0,123.75,7843.0,8220.0,4739.0,269.0,11170.0,-54.0,2854100.0,71352.5,9554099750.0,2.5,133.9,199.59677419354838,142.41999234986613,60.42330740787963,3.4298100216753795,3821639.9
127,Îles Marshall,3322.43,161.68,118.99,125.0,48.0,31.0,2.0,144.0,0.0,38830.0,,129009956.89999999,,132.8972,191.91935483870967,115.19999999999999,24.8,1.6,51603.98276
128,Chine - RAS de Macao,2928.55,125.24000000000001,117.74,620.0,4.0,631.0,1.0,13.0,8.0,713910.0,,2090721130.5000002,,117.14200000000001,189.90322580645162,2.0967741935483875,101.7741935483871,0.16129032258064516,836288.4522
129,Madagascar,1977.96,21.85,39.53,17436.0,360.0,1475.0,1234.0,16131.0,0.0,31195930.0,12300000.0,61704301702.8,39.42822028386395,79.1184,63.75806451612903,92.51548520302822,8.459509061711401,7.077311309933471,24681720.68112
130,Malawi,2618.29,46.27,65.66,32036.0,413.0,282.0,2272.0,31659.0,4.0,21104480.0,4800000.0,55257648939.2,22.743986111005814,104.73159999999999,105.90322580645162,98.82319890123611,0.8802597078286928,7.09202147583968,22103059.57568
131,Malaisie,2926.48,100.94,93.34,144594.0,23883.0,38868.0,2134.0,129705.0,-70.0,35126300.0,878157.5,102796414424.0,2.5,117.0592,150.5483870967742,89.70289223619238,26.8807834349973,1.4758565362324854,41118565.7696
132,Maldives,2671.39,78.46000000000001,97.39,612.0,80.0,559.0,0.0,144.0,14.0,525990.0,,1405124426.1,,106.85559999999998,157.08064516129033,23.52941176470588,91.33986928104575,0.0,562049.77044
134,Malte,3406.63,127.5,105.82,775.0,70.0,679.0,11.0,151.0,6.0,532960.0,13324.0,1815597524.8,2.5,136.2652,170.6774193548387,19.483870967741936,87.61290322580645,1.4193548387096775,726239.00992
136,Mauritanie,2909.36,74.52000000000001,83.18,3357.0,974.0,2411.0,110.0,1973.0,-206.0,5022440.0,500000.0,14612086038.400002,9.955320521499509,116.37440000000001,134.16129032258067,58.77271373249926,71.82007745010426,3.276735180220435,5844834.415360001
137,Maurice,3255.5,112.46000000000001,104.95,3876.0,583.0,1394.0,145.0,3146.0,29.0,1273590.0,100000.0,4146172245.0,7.851820444570073,130.22,169.2741935483871,81.16615067079464,35.96491228070175,3.740970072239422,1658468.898
138,Mexique,3304.58,109.85,100.26,218962.0,25616.0,48954.0,8168.0,196237.0,7.0,129739760.0,4200000.0,428735416100.8,3.237249706643515,132.1832,161.70967741935485,89.62148683333182,22.35730400708799,3.73032763675889,171494166.44032
141,Mongolie,3031.06,128.73,132.08,3715.0,200.0,1125.0,103.0,2826.0,-27.0,3431930.0,85798.25,10402385745.8,2.5,121.24239999999999,213.03225806451613,76.0699865410498,30.282637954239572,2.772543741588156,4160954.2983199996
143,Maroc,3353.92,75.25,98.07000000000001,39572.0,4182.0,17011.0,2228.0,26458.0,53.0,37712500.0,2600000.0,126484708000.0,6.894265826980445,134.1568,158.17741935483872,66.86040634792278,42.987465884969176,5.630243606590519,50593883.2
144,Mozambique,2186.12,40.05,44.69,20600.0,1164.0,3201.0,1135.0,18380.0,0.0,33635160.0,7100000.0,73530495979.2,21.108863463114194,87.4448,72.08064516129032,89.2233009708738,15.538834951456309,5.509708737864077,29412198.39168
145,Micronésie (États fédérés de),2633.23,124.10000000000001,71.94,169.0,147.0,29.0,7.0,283.0,0.0,112630.0,,296580694.9,,105.32920000000001,116.03225806451614,167.45562130177512,17.159763313609467,4.142011834319527,118632.27795999999
146,République de Moldova,2991.2400000000002,86.91,93.09,5242.0,3748.0,845.0,152.0,7510.0,0.0,2567070.0,64176.75,7678722466.8,2.5,119.6496,150.1451612903226,143.26592903471956,16.119801602441814,2.8996566196108358,3071488.98672
147,Namibie,2581.13,62.699999999999996,64.17,2522.0,668.0,1526.0,116.0,1713.0,-1.0,2963090.0,600000.0,7648120491.700001,20.24913181847328,103.24520000000001,103.49999999999999,67.92228390166535,60.50753370340999,4.599524187153054,3059248.1966800005
148,Naoero,3087.3,124.84,111.1,129.0,1.0,7.0,0.0,122.0,0.0,11880.0,,36677124.0,,123.492,179.19354838709677,94.57364341085271,5.426356589147287,0.0,14670.8496
149,Népal,2919.8,62.23,81.7,32742.0,526.0,3584.0,2543.0,29679.0,1.0,29694610.0,1600000.0,86702322278.0,5.3881832426827625,116.792,131.7741935483871,90.64504306395456,10.94618532771364,7.7667827255512805,34680928.9112
150,Pays-Bas (Royaume des),3467.0,142.28,117.07,66461.0,72361.0,93507.0,1037.0,45870.0,120.0,18092520.0,452313.0,62726766840.0,2.5,138.68,188.82258064516128,69.01792028407637,140.6945426641188,1.560313567355291,25090706.736
153,Nouvelle-Calédonie,3016.38,124.14,105.72,292.0,2.0,221.0,2.0,74.0,0.0,289870.0,100000.0,874358070.6,34.49822334149791,120.65520000000001,170.51612903225805,25.34246575342466,75.68493150684932,0.684931506849315,349743.22824
154,Macédoine du Nord,3475.6,116.02000000000001,103.12,2964.0,473.0,1156.0,133.0,2273.0,0.0,1831800.0,45795.0,6366604080.0,2.5,139.024,166.3225806451613,76.68690958164642,39.00134952766532,4.487179487179487,2546641.632
155,Vanuatu,2909.0499999999997,111.64,74.63,616.0,76.0,106.0,28.0,590.0,0.0,320410.0,100000.0,932088710.4999999,31.21001217190475,116.362,120.37096774193547,95.77922077922078,17.20779220779221,4.545454545454546,372835.48419999995
156,Nouvelle-Zélande,3121.54,104.97,100.98,16550.0,16087.0,3378.0,487.0,29303.0,72.0,5172840.0,129321.0,16147226973.6,2.5,124.8616,162.8709677419355,177.05740181268882,20.410876132930515,2.942598187311178,6458890.78944
